Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,1.1500000000000001,0.84,0.1,0.38,2.46,87.0,79.0,6.1000000000000005,1889.0,Insomniac Games,M
Quake III: Revolution,PS2,2001.0,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.21,84.0,18.0,7.2,11.0,Bullfrog Productions,M
The Destiny of Zorro,Wii,2009.0,Action,505 Games,0.09,0.0,0.0,0.01,0.1,,,,,Pronto Games,
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.6900000000000001,7.32,84.0,57.0,7.4,2142.0,EA DICE,M
Halo 2,PC,2007.0,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.09,72.0,32.0,5.6000000000000005,216.0,Microsoft Game Studios,M
Sacred Gold,PC,Unknown,Role-Playing,Encore,0.0,0.02,0.0,0.0,0.02,,,8.200000000000001,25.0,Ascaron Entertainment GmbH,T
Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,78.0,10.0,,,,E
How to Train Your Dragon 2,WiiU,2014.0,Adventure,Little Orbit,0.03,0.05,0.0,0.01,0.08,47.0,4.0,4.9,7.0,Torus Games,E10+
Ecco the Dolphin: Defender of the Future,PS2,2002.0,Adventure,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,71.0,17.0,8.5,11.0,Appaloosa Interactive,E
WWE SmackDown vs. Raw 2011,Wii,2010.0,Fighting,THQ,0.29,0.13,0.0,0.04,0.46,72.0,7.0,,,Yuke's,T
  Touch Shot! Love Application  ,PS3,2012.0,Adventure,Compile Heart,0.0,0.0,0.03,0.0,0.03,,,,,,
Little Busters! Converted Edition,PSP,2010.0,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04,,,,,,
Skies of Arcadia Legends,GC,2002.0,Role-Playing,Atari,0.17,0.04,0.0,0.01,0.22,84.0,31.0,9.200000000000001,95.0,Overworks,T
Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.8300000000000001,60.0,52.0,7.4,21.0,Nex Entertainment,T
Tenchu Z,X360,2006.0,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,,51.0,7.300000000000001,58.0,K2 LLC,M
Red Bull BC One,DS,2008.0,Misc,Playlogic Game Factory,0.08,0.0,0.0,0.01,0.09,48.0,15.0,5.300000000000001,8.0,Smack Down Productions,E
1 vs. 100,DS,199X,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,5.0,3.2,5.0,ECI,
Tetris 2 (All region sales),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,,,,,,
Tecmo Classic Arcade,XB,2005.0,Misc,Microsoft Game Studios,0.05,0.01,0.0,0.0,0.06,55.0,26.0,,,Tecmo,E
Horse Life Adventures,DS,2008.0,Simulation,Deep Silver,0.08,0.01,0.0,0.01,0.1,,,,,Neko Entertainment,E
Otoko Yukaku,PSV,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,,
CID The Dummy,PSP,2009.0,Platform,Oxygen Interactive,0.02,0.0,0.0,0.0,0.03,,6.0,,,Twelve Games,E10+
WWE SmackDown vs. RAW 2007,X360,2006.0,Fighting,THQ,0.44,0.03,0.0,0.04,0.5,81.0,50.0,7.800000000000001,46.0,Yuke's,T
Driv3r,GBA,20O8,Racing,Atari,0.02,0.01,0.0,0.0,0.03,,,5.4,5.0,Velez & Dubail,M
Army of Two,X360,2008.0,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.6400000000000001,72.0,76.0,7.6000000000000005,233.0,EA Montreal,M
Warriors of Might and Magic,PS2,2001.0,Adventure,3DO,0.09,0.07,0.0,0.02,0.17,49.0,12.0,4.5,6.0,3DO,T
Soldier of Fortune II: Double Helix,XB,2003.0,Shooter,Activision,0.17,0.05,0.0,0.01,0.23,61.0,26.0,6.5,13.0,Gratuitous Games,M
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2.4000000000000004,0.71,0.03,0.29,3.44,84.0,83.0,8.200000000000001,715.0,Gearbox Software,M
Commandos 2: Men of Courage,PS2,2002.0,Strategy,Eidos Interactive,0.09,0.07,0.0,0.02,0.18,67.0,19.0,6.800000000000001,11.0,Pyro Studios,T
  Bomberman  ,Wii,--,Puzzle,Hudson Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,
The Last of Us,PS4,2014.0,Actoin,Sony Computer Entertainment,1.8800000000000001,2.0,0.07,0.77,4.71,,,,,,
The Fight: Lights Out,PS3,2010.0,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,48.0,39.0,7.5,77.0,Coldwood Interactive,T
Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,94.0,72.0,9.200000000000001,317.0,BioWare,T
The Legend of Spyro: A New Beginning,DS,2006.0,Platform,Vivendi Games,-57.16,0.01,0.0,0.03,0.37,68.0,10.0,6.800000000000001,8.0,Amaze Entertainment,E
Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.72,0.0,0.15,1.26,68.0,36.0,5.800000000000001,21.0,Rockstar San Diego,E
The Bard's Tale,PS2,2004.0,Role-Playing,Ubisoft,0.1,0.08,0.0,0.03,0.21,76.0,44.0,8.6,14.0,InXile Entertainment,T
The Scorpion King: Rise of the Akkadian,PS2,2002.0,Action,Universal Interactive,0.11,0.09,0.0,0.03,0.23,47.0,12.0,7.2,6.0,VU Games,T
NBA Jam 99,N64,1998.0,Sports,Acclaim Entertainment,0.25,0.02,0.0,0.0,0.27,,,,,,
Cities XL 2012,PC,2011.0,Strategy,Focus Home Interactive,0.01,0.05,0.0,0.01,0.07,61.0,18.0,5.6000000000000005,95.0,Monte Cristo Multimedia,E
Michael Jackson: The Experience,DS,2010.0,Misc,Ubisoft,0.21,0.02,0.0,0.02,0.25,64.0,5.0,6.6000000000000005,5.0,Ubisoft,E10+
Mana Khemia 2: Fall of Alchemy,PS2,2008.0,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2,70.0,12.0,8.200000000000001,17.0,Gust,T
Worms Reloaded,PC,2010.0,Strategy,Team17 Software,0.0,0.04,0.0,0.01,0.05,79.0,28.0,6.800000000000001,185.0,Team 17,E10+
Defender II,2600.0,1987.0,Shooter,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,
MySims SkyHeroes,X360,2010.0,Action,Electronic Arts,0.09,0.0,0.0,0.01,0.1,56.0,15.0,5.5,4.0,Behaviour Interactive,E10+
Activision Hits: Remixed,PSP,2006.0,Misc,Activision,0.05,0.0,0.0,0.0,0.05,75.0,10.0,,,Digital Eclipse,E
Bratz: Girlz Really Rock,DS,2008.0,action,THQ,0.18,0.11,0.0,0.03,0.32,,,,,Blitz Games,E
Discovery Kids: Snake Safari,DS,2009.0,Simulation,505 Games,0.02,0.0,0.0,0.0,0.02,,,,,505 Games,E10+
Line Rider 2: Unbound,DS,2008.0,Puzzle,Deep Silver,0.07,0.0,0.0,0.01,0.08,59.0,23.0,5.6000000000000005,5.0,InXile Entertainment,E
Harvest Moon: Frantic Farming,DS,2009.0,Puzzle,Rising Star Games,0.08,0.0,0.0,0.01,0.1,72.0,7.0,6.800000000000001,6.0,,E
NBA 08,PS2,2007.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,59.0,16.0,,,SCEA San Diego Studios,E
Ducati Moto,DS,2008.0,Racing,Vir2L Studios,0.02,0.0,0.0,0.0,0.03,69.0,4.0,,,4J Studios,E
Meitantei Conan: Tantei Ryoku Trainer,DS,TBD,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,,
  The Lord of the Rings: Conquest  ,PC,2009.0,Action,Electronic Arts,0.0,0.02,0.0,0.0,0.02,57.0,24.0,6.7,42.0,,T
El Shaddai: Ascension of the Metatron,X360,2011.0,Action,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16,75.0,44.0,7.0,47.0,Ignition Entertainment,T
The BIGS,Wii,2007.0,Sports,Take-Two Interactive,0.34,0.0,0.0,0.03,0.37,66.0,15.0,7.1000000000000005,14.0,Blue Castle Games,E
Classic NES Series: Bomberman,GBA,2004.0,Action,Nintendo,0.1,0.04,0.11,0.01,0.26,,,,,,
The Incredible Hulk,DS,2008.0,Action,Sega,0.22,0.0,0.0,0.02,0.24,50.0,15.0,,,Amaze Entertainment,
Kirby: Canvas Curse,DS,2005.0,Platform,Nintendo,0.36,0.0,0.32,0.03,0.72,86.0,48.0,8.200000000000001,87.0,HAL Labs,E
